quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1		0	0	3/4	2	1	1/4	1/4	1		0	48	C3	3	6
0	0.5	1	1		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	0
1/2	0.5	1	1		1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	1
1	1.0	1	1		1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	7
1	0.5	1	1		1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	2
3/2	0.5	1	1		3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	3
2	1.0	1	1		1/2	1/2	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	8
2	0.5	1	1		1/2	1/2	3/4	1	1	1/8	1/8	1		5	71	B4	4	4
5/2	0.5	1	1		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	5
3	0.5	2	2		0	0	3/4	2	1	1/8	1/8	1		-1	53	F3	3	12
3	1.0	2	2		0	0	3/4	1	1	1/4	1/4	1		-4	80	Ab5	5	9
7/2	0.5	2	2		1/8	1/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	13
4	0.5	2	2		1/4	1/4	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	14
4	1.0	2	2		1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	10
9/2	0.5	2	2		3/8	3/8	3/4	2	1	1/8	1/8	1		2	62	D4	4	15
5	0.5	2	2		1/2	1/2	3/4	2	1	1/8	1/8	1		0	60	C4	4	16
5	1.0	2	2		1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	11
11/2	0.5	2	2		5/8	5/8	3/4	2	1	1/8	1/8	1		5	59	B3	3	17
6	1.0	3	3		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	24
6	0.5	3	3		0	0	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	18
13/2	0.5	3	3		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	19
7	1.0	3	3		1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	25
7	0.5	3	3		1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77	F5	5	20
15/2	0.5	3	3		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	21
8	1.0	3	3		1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	26
8	0.5	3	3		1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	22
17/2	0.5	3	3		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	23
9	1.0	4	4		0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	33
9	0.5	4	4		0	0	3/4	1	1	1/8	1/8	1		5	71	B4	4	27
19/2	0.5	4	4		1/8	1/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	28
10	1.0	4	4		1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	34
10	0.5	4	4		1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	29
21/2	0.5	4	4		3/8	3/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	30
11	1.0	4	4		1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	35
11	0.5	4	4		1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	31
23/2	0.5	4	4		5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	32
12	1.0	5	5		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	42
12	0.5	5	5		0	0	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	36
25/2	0.5	5	5		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	37
13	0.5	5	5		1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	38
27/2	0.5	5	5		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	39
14	1.0	5	5		1/2	1/2	3/4	2	1	1/4	1/4	1		0	48	C3	3	43
14	0.5	5	5		1/2	1/2	3/4	1	1	1/8	1/8	1		-4	68	Ab4	4	40
29/2	0.5	5	5		5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	41
15	1.0	6	6		0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	50
15	0.5	6	6		0	0	3/4	1	1	1/8	1/8	1		-1	65	F4	4	44
31/2	0.5	6	6		1/8	1/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	45
16	0.5	6	6		1/4	1/4	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	46
33/2	0.5	6	6		3/8	3/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	47
17	1.0	6	6		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	51
17	0.5	6	6		1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	48
35/2	0.5	6	6		5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	49
18	1.0	7	7		0	0	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	55
18	1.0	7	7		0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	52
19	1.0	7	7		1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	56
19	1.0	7	7		1/4	1/4	3/4	1	1	1/4	1/4	1		-3	75	Eb5	5	53
20	1.0	7	7		1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	57
20	1.0	7	7		1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	54
	0.5	8	8	1	0	0	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	59
	3.0	8	8	1	0	0	3/4	1	1	3/4	1/2	3/2		-3	75	Eb5	5	58
	0.5	8	8	1	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	60
	0.5	8	8	1	1/4	1/4	3/4	2	1	1/8	1/8	1		-1	53	F3	3	61
	0.5	8	8	1	3/8	3/8	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	62
	0.5	8	8	1	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50	D3	3	63
	0.5	8	8	1	5/8	5/8	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	64
21	1.0	9	8	2	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	66
21	3.0	9	8	2	0	0	3/4	1	1	3/4	1/2	3/2		-3	75	Eb5	5	65
22	1.0	9	8	2	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	46	Bb2	2	67
23	1.0	9	8	2	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	39	Eb2	2	68
24	1.0	10	9		0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	75
24	0.5	10	9		0	0	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	69
49/2	0.5	10	9		1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	70
25	1.0	10	9		1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53	F3	3	76
25	0.5	10	9		1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77	F5	5	71
51/2	0.5	10	9		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	72
26	1.0	10	9		1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	77
26	0.5	10	9		1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	73
53/2	0.5	10	9		5/8	5/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	74
27	1.0	11	10		0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	84
27	0.5	11	10		0	0	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	78
55/2	0.5	11	10		1/8	1/8	3/4	1	1	1/8	1/8	1		-4	80	Ab5	5	79
28	0.5	11	10		1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	80
57/2	0.5	11	10		3/8	3/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	81
29	0.5	11	10		1/2	1/2	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	82
59/2	0.5	11	10		5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	83
30	1.0	12	11		0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	91
30	0.5	12	11		0	0	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	85
61/2	0.5	12	11		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	82	Bb5	5	86
