mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	31								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	32								
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	33								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	34								
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	35								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	36								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	37								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	38								
4	4	9	9	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	39								
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	40								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	41								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	42								
5	5	12	12	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	43								
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	44								
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	45								
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	46								
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	47								
5	5	12	12	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	48								
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	49								
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	50								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	51								
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	52								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	53								
6	6	15	15	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	54								
6	6	15	15	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	55								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	56								
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	57								
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	58								
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	59								
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	60								
6	6	15	15	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	61								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	62								
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	63								
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	64								
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	65								
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	66								
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	67								
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	68								
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	69								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	70								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	71								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72								
7	7	18	18	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	73								
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	74								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	75								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	76								
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	77								
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	78								
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	79								
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	80								
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	81								
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	82								
8	8	21	21	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	83								
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	84								
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	85								
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	86								
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	87								
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	88								
9	9	53/2	53/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	89								
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	90								
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	91								
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	92								
9	9	24	24	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	93								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	94								
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	95								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	96								
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	97								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	98								
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	99								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	100								
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	101								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	102								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	103								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	104								
10	10	27	27	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	105								
10	10	27	27	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	106								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	107								
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	108								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	109								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	110								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	111								
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	112								
11	11	31	31	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	113								
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	114								
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	115								
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	116								
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	117								
11	11	30	30	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	118								
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	119								
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	120								
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	121								
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	122								
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	123								
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	124								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	125								
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	126								
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	127								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	128								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	129								
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	130								
12	12	33	33	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	131								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	132								
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	133								
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	134								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	135								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	136								
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	137								
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	138								
13	13	77/2	77/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	139								
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	140								
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	141								
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	142								
13	13	36	36	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	143								
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	144								
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	145								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	146								
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	147								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	148								
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	149								
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	150								
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	151								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	152								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	153								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	154								
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	155								
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	156								
14	14	39	39	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	157								
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	158								
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	159								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	160								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	161								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	162								
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	163								
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	164								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	165								
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	166								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	167								
15	15	42	42	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	168								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	169								
15	15	42	42	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	170								
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	171								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	172								
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	173								
16	16	45	45	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	174								
16	16	45	45	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	175								
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	176								
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	177								
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	178								
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	179								
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	180								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	181								
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	182								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	183								
17	17	48	48	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	184								
17	17	49	49	1.5	1/4	1/4	Chord	3/4	2	2	3/8		1/4	3/2	185	ornamentTremblement							
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	186								
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	187								
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	188								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	189								
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	190								
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	191								
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	192								
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	193								
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	194								
18	18	52	52	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	195	ornamentTremblement							
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	196								
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	197								
18	18	51	51	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	198								
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	199								
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	200								
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	201								
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	202								
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	203								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204								
19	19	54	54	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	205								
19	19	54	54	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	206								
19	19	55	55	1.5	1/4	1/4	Chord	3/4	2	2	3/8		1/4	3/2	207	ornamentTremblement							
19	19	113/2	113/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	208								
19	19	227/4	227/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	209								
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	210								
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	211								
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	212								
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	213								
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	214								
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	215								
20	20	57	57	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	216								
20	20	57	57	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	217								
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	218								
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	219								
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	220								
21	21	61	61	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	221								
21	21	125/2	125/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	222								
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	223								
21	21	60	60	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	224								
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	225	ornamentTremblement							
21	21	60	60	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	226								
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	227								
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	228								
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	229								
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	230								
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	231								
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	232								
22	22	64	64	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	233	ornamentTremblement							
22	22	131/2	131/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	234								
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	235								
22	22	63	63	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	236								
22	22	64	64	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	237								
22	22	63	63	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	238								
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	239								
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	240								
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	241								
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	242								
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	243								
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	244								
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	245								
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	246								
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	247								
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	248								
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	249								
23	23	66	66	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	250								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	251								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	252								
23	23	66	66	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	253								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	254								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	255								
24	24	69	69	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	256								
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	257								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	258								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	259								
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	260								
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	261								
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	262								
24	24	69	69	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	263								
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	264								
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	265								
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	266								
25	25	73	73	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	267								
25	25	149/2	149/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	268								
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	269								
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	270								
25	25	73	73	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	271								
25	25	72	72	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	272								
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	273								
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	274								
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	275								
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	276								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	277								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	278								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	279								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	280								
26	26	75	75	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	281								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	282								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	283								
26	26	75	75	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	284								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	285								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	286								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	287								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	288								
27	27	78	78	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	289								
27	27	79	79	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	290	ornamentShortTrill							
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	291								
27	27	78	78	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	292								
27	27	79	79	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	293								
27	27	78	78	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	294								
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	295								
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	296								
27	27	80	80	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	297								
