mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0					6. Gigue					
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	0							
1	1	1	1	0.75	1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	1							
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	2							
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	3							
1	1	5/2	5/2	0.125	5/8	5/8	Chord	4/4	1	2	1/32	1/32	1	4							
1	1	21/8	21/8	0.125	21/32	21/32	Chord	4/4	1	2	1/32	1/32	1	5							
1	1	11/4	11/4	0.125	11/16	11/16	Chord	4/4	1	2	1/32	1/32	1	6							
1	1	23/8	23/8	0.125	23/32	23/32	Chord	4/4	1	2	1/32	1/32	1	7							
1	1	3	3	0.75	3/4	3/4	Chord	4/4	1	2	3/16	1/8	3/2	8							
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	9							
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	10							
2	2	5	5	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	11							
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	12							
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	13							
2	2	13/2	13/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32	1/32	1	14							
2	2	53/8	53/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32	1/32	1	15							
2	2	27/4	27/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	16							
2	2	55/8	55/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	17							
2	2	7	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	18							
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	19							
2	2	4	4	0.75	0	0	Chord	4/4	1	2	3/16	1/8	3/2	20							
2	2	19/4	19/4	0.125	3/16	3/16	Chord	4/4	1	2	1/32	1/32	1	21							
2	2	39/8	39/8	0.125	7/32	7/32	Chord	4/4	1	2	1/32	1/32	1	22							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	23	ornamentTrill						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	24							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	25							
3	3	8	8	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	26							
3	3	35/4	35/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	27							
3	3	71/8	71/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	28							
3	3	9	9	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	29							
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	30							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31							
3	3	8	8	0.75	0	0	Chord	4/4	1	2	3/16	1/8	3/2	32							
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	33							
3	3	9	9	0.75	1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	34							
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	35							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	36							
3	3	11	11	0.75	3/4	3/4	Chord	4/4	1	2	3/16	1/8	3/2	37							
3	3	47/4	47/4	0.125	15/16	15/16	Chord	4/4	1	2	1/32	1/32	1	38							
3	3	95/8	95/8	0.125	31/32	31/32	Chord	4/4	1	2	1/32	1/32	1	39							
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	40							
3	3	9	9	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	41							
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	42							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	43							
3	3	21/2	21/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32	1/32	1	44							
3	3	85/8	85/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32	1/32	1	45							
3	3	43/4	43/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32	1/32	1	46							
3	3	87/8	87/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32	1/32	1	47							
3	3	11	11	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	48							
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	49							
4	4	12	12	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	50							
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	51							
4	4	13	13	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	52							
