mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/8	1/8	3/4	2	1		a.V		a	i		V	V							M	1	1	1, 5, 2		1	1
1	1	1/4	1/4	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
1	1	5/8	5/8	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	0	0	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
2	2	1/4	1/4	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	3/8	3/8	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
2	2	1/2	1/2	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
2	2	5/8	5/8	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	0	0	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	1/4	1/4	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
3	3	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/8	1/8	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	1/4	1/4	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	3/8	3/8	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
4	4	1/2	1/2	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
4	4	5/8	5/8	3/4	2	1		ii%65		a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
5	5	0	0	3/4	2	1		V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
5	5	1/4	1/4	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
5	5	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	0	0	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
6	6	1/4	1/4	3/4	2	1		#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
6	6	1/2	1/2	3/4	2	1		V7/IV		a	i		V7/IV	V		7		IV			Mm7	1	1	0, 4, 1, -2		0	0
7	7	0	0	3/4	2	1		V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
7	7	1/4	1/4	3/4	2	1		viio/VII		a	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
7	7	1/2	1/2	3/4	2	1		V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
8	8	0	0	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
8	8	1/4	1/4	3/4	2	1		viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
8	8	1/2	1/2	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	9	0	0	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
9	9	1/8	1/8	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
9	9	1/4	1/4	3/4	2	1		ii6/VII		a	i		ii6/VII	ii		6		VII			m	1	1	-3, 1, 0		0	-3
9	9	3/8	3/8	3/4	2	1		V2/VII		a	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
9	9	1/2	1/2	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
9	9	5/8	5/8	3/4	2	1		viio/VII		a	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
10	10	0	0	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
10	10	1/8	1/8	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
10	10	1/4	1/4	3/4	2	1		viio/VI		a	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1
10	10	3/8	3/8	3/4	2	1		ii64/VI		a	i		ii64/VI	ii		64		VI			m	1	1	-1, -2, -5		-2	-1
10	10	1/2	1/2	3/4	2	1		viio/VI		a	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1
10	10	5/8	5/8	3/4	2	1		V7/VI		a	i		V7/VI	V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
11	11	0	0	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	11	1/8	1/8	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
11	11	1/4	1/4	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	3/8	3/8	3/4	2	1		VI64		a	i		VI64	VI		64					M	1	1	-3, -4, 0		-4	-3
11	11	1/2	1/2	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	5/8	5/8	3/4	2	1		ii%7		a	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
12	12	0	0	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
12	12	1/8	1/8	3/4	2	1		VII64		a	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
12	12	1/4	1/4	3/4	2	1		#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
12	12	3/8	3/8	3/4	2	1		ii64/iv		a	i		ii64/iv	ii		64		iv			m	1	1	2, 1, -2		1	2
12	12	1/2	1/2	3/4	2	1		#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
12	12	5/8	5/8	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
13	13	0	0	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
13	13	1/8	1/8	3/4	2	1		VI64		a	i		VI64	VI		64					M	1	1	-3, -4, 0		-4	-3
13	13	1/4	1/4	3/4	2	1		viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
13	13	3/8	3/8	3/4	2	1		ii64/III		a	i		ii64/III	ii		64		III			m	1	1	0, -1, -4		-1	0
13	13	1/2	1/2	3/4	2	1		viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
13	13	5/8	5/8	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
14	14	0	0	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
14	14	1/8	1/8	3/4	2	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
14	14	1/4	1/4	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
14	14	3/8	3/8	3/4	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	1/2	1/2	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
14	14	5/8	5/8	3/4	2	1		#vio		a	i		#vio	#vi	o						o	1	1	3, 0, -3		3	3
15	15	0	0	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	15	1/4	1/4	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
15	15	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
16	16	1/8	1/8	3/4	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
16	16	1/4	1/4	3/4	2	1		#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
16	16	1/2	1/2	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
17	17	0	0	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
17	17	1/4	1/4	3/4	2	1		viio/V		a	i		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
17	17	1/2	1/2	3/4	2	1		V7/V		a	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
18	18	0	0	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
18	18	1/4	1/4	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
18	18	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	19	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
19	19	1/2	1/2	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
19	19	5/8	5/8	3/4	2	1		iv64		a	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
20	20	0	0	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
20	20	1/4	1/4	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
20	20	1/2	1/2	3/4	2	1		V43		a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
20	20	5/8	5/8	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
21	21	0	0	3/4	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
21	21	1/8	1/8	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
21	21	1/4	1/4	3/4	2	1		#viio7		a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
21	21	3/8	3/8	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
21	21	1/2	1/2	3/4	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
21	21	5/8	5/8	3/4	2	1		VI64		a	i		VI64	VI		64					M	1	1	-3, -4, 0		-4	-3
22	22	0	0	3/4	2	1		V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
22	22	1/4	1/4	3/4	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
22	22	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
23	23	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
23	23	1/4	1/4	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
23	23	5/16	5/16	3/4	2	1		III64		a	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
23	23	3/8	3/8	3/4	2	1		iv65		a	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
23	23	7/16	7/16	3/4	2	1		III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
23	23	1/2	1/2	3/4	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
23	23	5/8	5/8	3/4	2	1		iv7		a	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
24	24	0	0	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
