mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	c.i{						c	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0	0	3	0.0	0.0	0.5	0.0
1	1	1/4	1/4	3/4	2	1	#viio6					V64	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
1	1	1/2	1/2	3/4	2	1	i6						c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
2	2	0	0	3/4	2	1	iv						c	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0	0	3	0.0	0.0	0.5	0.0
2	2	1/4	1/4	3/4	2	1	i6						c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
2	2	1/2	1/2	3/4	2	1	#viio	-0.148914	-5.93589	/			c	i		#viio	#vii	o						o	1	1	5, 2, -1		5.0	5.0	1	2	0.3333333333333333	0.125	0.375	0.25
3	3	0	0	3/4	2	1	i						c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	1	2	0.3333333333333333	0.125	0.375	0.25
3	3	1/4	1/4	3/4	2	1	iv65						c	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	0	3	0.0	0.0	0.5	0.0
3	3	1/2	1/2	3/4	2	1	ii%65						c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2.0	-1.0	0	3	0.0	0.0	0.5	0.0
4	4	0	0	3/4	2	1	V						c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	3	3	0.5	0.5	0.5	0.5
4	4	1/2	1/2	3/4	2	1	V6	0	-6	/			c	i		V6	V		6					M	1	1	5, 2, 1		1.0	5.0	1	2	0.3333333333333333	0.125	0.375	0.25
5	5	0	0	3/4	2	1	i						c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	1	4	0.2	0.125	0.625	0.16666666666666666
5	5	1/2	1/2	3/4	2	1	IV6/III	0	-6.1	/			c	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4.0	0.0	1	2	0.3333333333333333	0.125	0.375	0.25
6	6	0	0	3/4	2	1	V6/III						c	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2.0	2.0	2	6	0.25	0.25	1.0	0.2
7	7	0	0	3/4	2	1	I/III						c	i		I/III	I				III			M	1	1	-3, 1, -2		-3.0	-3.0	0	2	0.0	0.0	0.5	0.0
7	7	1/4	1/4	3/4	2	1	IV/III						c	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4.0	-4.0	0	2	0.0	0.0	0.5	0.0
7	7	1/2	1/2	3/4	2	1	V/III	0	-6	/			c	i		V/III	V				III			M	1	1	-2, 2, -1		-2.0	-2.0	0	2	0.0	0.0	0.5	0.0
8	8	0	0	3/4	2	1	I/III|PAC}	0	-6.1	/	1.0		c	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3.0	-3.0	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
9	8	0	0	3/4	2	1	I/III|PAC}	0	-6.1	/	2.0		c	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3.0	-3.0	0	7	0.0	0.0	2.0	0.0
10	9	1/4	1/4	3/4	2	1	viio6/III						c	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	1/2	1/2	3/4	2	1	I6/III						c	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3.0	1.0	1	2	0.3333333333333333	0.125	0.375	0.25
11	10	0	0	3/4	2	1	V65/III						c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2.0	2.0	2	5	0.2857142857142857	0.25	0.75	0.25
12	11	0	0	3/4	2	1	I/III						c	i		I/III	I				III			M	1	1	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.5	0.0
12	11	1/4	1/4	3/4	2	1	IV6/III						c	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4.0	0.0	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	1/2	1/2	3/4	2	1	ii6/III						c	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1.0	-4.0	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	0	0	3/4	2	1	V/III						c	i		V/III	V				III			M	1	1	-2, 2, -1		-2.0	-2.0	4	4	0.5	0.5	0.5	0.5
13	12	1/2	1/2	3/4	2	1	V64/III	-1	-6	/			c	i		V64/III	V		64		III			M	1	1	-1, -2, 2		-2.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	0	0	3/4	2	1	V6/iv						c	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0.0	4.0	2	5	0.2857142857142857	0.25	0.75	0.25
15	14	0	0	3/4	2	1	V7/iv						c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0.0	0.0	2	4	0.3333333333333333	0.375	0.625	0.375
15	14	1/2	1/2	3/4	2	1	V6/iv						c	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0.0	4.0	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	0	0	3/4	2	1	i/iv						c	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1.0	-1.0	0	2	0.0	0.0	0.5	0.0
16	15	1/4	1/4	3/4	2	1	V/iv						c	i		V/iv	V				iv			M	1	1	0, 4, 1		0.0	0.0	1	5	0.16666666666666666	0.125	0.875	0.125
17	16	0	0	3/4	2	1	i/iv|PAC}{						c	i		i/iv	i				iv	PAC	}{	m	1	1	-1, -4, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.875	0.125
17	16	1/4	1/4	3/4	2	1	iv64						c	i		iv64	iv		64					m	1	1	0, -1, -4		-1.0	0.0	1	1	0.5	0.125	0.125	0.5
17	16	1/2	1/2	3/4	2	1	iv6						c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1.0	-4.0	0	2	0.0	0.0	0.25	0.0
18	17	0	0	3/4	2	1	iv						c	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
18	17	1/4	1/4	3/4	2	1	iv6						c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1.0	-4.0	0	3	0.0	0.0	0.5	0.0
18	17	1/2	1/2	3/4	2	1	ii%65						c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2.0	-1.0	0	3	0.0	0.0	0.5	0.0
19	18	0	0	3/4	2	1	V6/III						c	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2.0	2.0	0	3	0.0	0.0	0.5	0.0
19	18	1/4	1/4	3/4	2	1	V7/III						c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	0	3	0.0	0.0	0.5	0.0
19	18	1/2	1/2	3/4	2	1	viio/III						c	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
20	19	0	0	3/4	2	1	III						c	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
20	19	1/4	1/4	3/4	2	1	III6						c	i		III6	III		6					M	1	1	1, -2, -3		-3.0	1.0	0	3	0.0	0.0	0.5	0.0
20	19	1/2	1/2	3/4	2	1	i65						c	i		i65	i		65					mm7	1	1	-3, 1, -2, 0		0.0	-3.0	0	3	0.0	0.0	0.5	0.0
21	20	0	0	3/4	2	1	VI6						c	i		VI6	VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	3	0.0	0.0	0.5	0.0
